YEAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2007,37,36,63,55,24,23,48,44,71,67,81,52,62,61,103,67,94,67,99,95,63,73,56,33
2008,42,18,35,41,11,25,16,55,55,53,53,66,69,68,83,46,62,85,81,59,62,50,49,55
2009,48,17,45,26,19,23,36,51,46,34,53,41,71,63,88,82,66,80,70,61,54,98,24,46
2010,51,31,44,32,20,18,31,27,66,37,56,64,35,48,45,76,65,113,56,39,96,57,37,46
2011,19,26,15,31,4,30,29,41,49,45,42,75,48,82,81,66,74,59,88,116,45,44,53,19
2012,37,62,30,32,19,21,52,50,45,63,85,26,73,83,72,95,84,72,90,75,68,47,42,25
2013,31,8,29,17,7,17,26,54,58,56,61,91,51,85,74,71,70,76,98,67,67,53,38,15
2014,30,21,25,8,3,21,41,35,18,23,56,28,49,38,39,41,50,93,56,39,61,45,42,50
2015,59,23,9,19,8,9,39,23,29,44,22,38,39,39,66,57,57,70,57,44,49,63,36,33
2016,47,11,40,35,4,10,32,27,36,41,26,37,35,62,56,31,74,54,63,84,61,56,47,25
2017,19,19,21,21,3,15,24,18,38,35,38,22,36,59,31,61,62,43,67,24,47,32,43,46
